source,text,label
trt,Beykoz Belediyesi soruşturmasında 26 zanlı hakkında fezleke hazırlandı,non-sarcastic
trt,Cumhurbaşkanı Erdoğan: Milletimizin kararlılığı bizi terörsüz Türkiye'yi inşa sürecine getirdi,non-sarcastic
trt,"Fahrettin Altun: Barış, adalet ve istikrar için çalışmaya devam edeceğiz",non-sarcastic
trt,Milletlerarası anlaşmalar Resmi Gazete'de yayımlandı,non-sarcastic
trt,Ankara'da insan sağlığını tehdit eden 40 ton ürünün satışı engellendi,non-sarcastic
trt,Türkiye'den Bosna Hersek'in hava savunmasına destek,non-sarcastic
trt,10 ilde organize suç örgütlerine operasyonlarda 142 şüpheli yakalandı,non-sarcastic
trt,"İletişim Başkanlığı'nın New York'ta düzenlediği panelde, Türk-Amerikan ilişkileri ele alındı",non-sarcastic
trt,"22 Mayıs ""Finansal Okuryazarlık Günü"" olarak kutlanacak",non-sarcastic
trt,Bölge İdare Mahkemesi sayısı 12'ye yükseldi,non-sarcastic
trt,"Çelik: Lozan, Türkiye'nin tapusudur ve bir kazanımdır",non-sarcastic
trt,Cumhurbaşkanı Erdoğan'ın imzasıyla 7 üniversiteye rektör atandı,non-sarcastic
trt,Trablus'taki çatışmalar nedeniyle 82 Türk vatandaşı Türkiye'ye döndü,non-sarcastic
trt,Dünyada bir ilk: Adana'da Su Ürünleri Organize Tarım Bölgesi kurulacak,non-sarcastic
trt,Cumhurbaşkanı Erdoğan: Terörsüz Türkiye en büyük eserimiz olacak,non-sarcastic
trt,Göktepe-3 Kuyusu'ndaki sondaj çalışmalarında sona yaklaşıldı,non-sarcastic
trt,Cumhurbaşkanı Yardımcısı Yılmaz: KKTC'nin haklı davasını sonuna kadar savunacağız,non-sarcastic
trt,Bakan Fidan: Kalıcı barış için her türlü çabayı sergilemeye devam edeceğiz,non-sarcastic
trt,Bakan Yerlikaya: 310 personel ve 72 araç ile çalışmalar devam ediyor,non-sarcastic
trt,"Milli boksörler, Polonya'da 9 madalya kazandı",non-sarcastic
trt,"Rus heyet: Sonuçlardan memnunuz, temasları sürdürmeye hazırız",non-sarcastic
trt,İstanbul'da Rusya ve Ukrayna'dan esir takas anlaşması,non-sarcastic
trt,"Zelenski: Önceliğimiz tam, koşulsuz ve dürüst bir ateşkes",non-sarcastic
trt,Türkiye-Suriye Üniversitesi kurulacak,non-sarcastic
trt,Cumhurbaşkanı Erdoğan'dan Tiran'da diplomasi trafiği,non-sarcastic
trt,Aile ve Gençlik Fonu'na 110 bin kişi başvurdu,non-sarcastic
trt,Cumhurbaşkanı Erdoğan: Ukrayna'da silahların susması için kritik bir virajdayız,non-sarcastic
trt,İstanbul'daki nükleer görüşmeleri sona erdi,non-sarcastic
trt,Bakan Tunç: Ceza adalet sistemine yönelik yalan haberlere inanmayın,non-sarcastic
trt,"Çınarcık Belediyesi'ne 1,3 milyon lira ""çevre"" cezası",non-sarcastic
trt,Bakan Kacır: Terörsüz Türkiye ile yerel kalkınma hamlesi hızlanacak,non-sarcastic
trt,MSB: Korucularımızı hedef alan açıklamalar beyhudedir,non-sarcastic
trt,"DMM ""Yeni yargı paketiyle 12 yıl cezaya 9 ay hapis"" iddiasını yalanladı",non-sarcastic
trt,İstanbul'da zehir tacirlerine operasyon: 119 gözaltı,non-sarcastic
trt,"""KarguFPV"" hedefi tam isabetle vurdu",non-sarcastic
trt,"Bahçeli, kurban vekaletini Kızılay’a verdi",non-sarcastic
trt,İstanbul'daki barış görüşmeleri sona erdi,non-sarcastic
trt,"Cumhurbaşkanı Erdoğan, Arnavutluk'ta",non-sarcastic
trt,Genç nüfus oranı son 84 yılın en düşük seviyesinde,non-sarcastic
trt,"Fahrettin Altun, İzmir'de gazetecileri darbedenleri kınadı",non-sarcastic
trt,Türkiye-ABD-Ukrayna ile Türkiye-Rusya-Ukrayna Üçlü Toplantıları bugün yapılacak,non-sarcastic
trt,FETÖ'ye 27 ilde operasyon: 101 gözaltı,non-sarcastic
trt,"Rusya ve Ukrayna, barışın şartlarını İstanbul'da görüşecek",non-sarcastic
trt,Hafta sonu hava nasıl olacak?,non-sarcastic
trt,"Cumhurbaşkanı Erdoğan, Arnavutluk'ta Avrupa Siyasi Topluluğu Zirvesi'ne katılacak",non-sarcastic
trt,TBMM engellilerin bireylerin sorunlarını araştıracak.,non-sarcastic
trt,Barış masası İstanbul'da kuruluyor,non-sarcastic
trt,Hakan Fidan Rus heyeti ile görüştü,non-sarcastic
trt,Cumhurbaşkanı Erdoğan yarın Arnavutluk'a gidecek,non-sarcastic
trt,Antalya'da Türkiye-ABD-Suriye üçlü görüşmesi,non-sarcastic
trt,Cumhurbaşkanı Erdoğan: Devletimiz hiçbir gücün karşısında diz çökmez,non-sarcastic
trt,Erdoğan: Terörsüz Türkiye ile en büyük eserimizi inşa ediyoruz,non-sarcastic
trt,"Konya'da 5,2 büyüklüğünde deprem",non-sarcastic
trt,2025-2026 eğitim öğretim yılı takvimi belli oldu,non-sarcastic
trt,"Bakan Fidan: Türkiye, Avrupa güvenlik mimarisinde önemli rol oynamaya devam edecek",non-sarcastic
trt,Bakan Yumaklı: Kurbanlık hayvan varlığımız yeterli düzeyde,non-sarcastic
trt,Bakan Tunç: Yargı reformu strateji belgemizin ilk düzenlemesi ceza adaleti olacak,non-sarcastic
trt,Cumhurbaşkanı Erdoğan Ukrayna Devlet Başkanı Zelenski ile görüştü,non-sarcastic
trt,MSB kaynakları: Sahadaki somut adımları yakından takip ediyoruz,non-sarcastic
trt,Bakan Göktaş: Ailelerimizin geleceğini inşa etmek için çalışıyoruz,non-sarcastic
trt,Karayolu yönetmeliği değişti: Motokuryeler artık kayıt altında,non-sarcastic
trt,TBMM Başkanı Kurtulmuş: Gazze'deki soykırımın sahipleri tarih sahnesinden silinecek,non-sarcastic
trt,Ukrayna Devlet Başkanı Zelenski Ankara'da,non-sarcastic
trt,Barış umudu İstanbul'da doğdu,non-sarcastic
trt,Gençlik ve Spor Bakanı Osman Aşkın Bak Anıtkabir'i ziyaret etti,non-sarcastic
trt,"Emine Erdoğan: Aileye sahip çıkmak, ortak geleceğimize sahip çıkmaktır",non-sarcastic
trt,"Bakan Fidan: İstanbul'da görüşmeler, umarım yeni bir sayfa açmamıza yol açacaktır",non-sarcastic
trt,Bakan Fidan: NATO toplantısına ev sahipliği yapmaktan büyük bir ayrıcalık duyuyoruz,non-sarcastic
trt,Evde Bakım Yardımı hesaplara yatırılmaya başlandı,non-sarcastic
trt,İstanbul müzakerelerine katılacak Rus heyeti Türkiye'de,non-sarcastic
trt,Dünyanın gözü İstanbul'da: Barış masası yeniden kuruluyor,non-sarcastic
trt,"Cumhurbaşkanı Erdoğan, Galatasaray'ı tebrik etti",non-sarcastic
trt,"Cumhurbaşkanı Yardımcısı Yılmaz'dan ""Çözerse Erdoğan çözer"" paylaşımı",non-sarcastic
trt,"Efkan Ala: Reform, siyasetimizin serlevhasıdır",non-sarcastic
trt,"Bakan Fidan: Barış ve istikrarın en temel değerleri, Ukrayna ve Gazze'de tehdit altında",non-sarcastic
trt,"Dışişleri: AB, Kıbrıs meselesinde tarafsızlığını yitirdi",non-sarcastic
trt,Ziraat Türkiye Kupası'nın sahibi Galatasaray oldu,non-sarcastic
trt,Bayraktar TB3'ten kara hedefine tam isabet,non-sarcastic
trt,HÜRJET için nihai imza bu yıl atılacak,non-sarcastic
trt,Boğaziçi Üniversitesi'nde polise saldırı: 6 şüpheli tutuklandı,non-sarcastic
trt,"İletişim Başkanı Altun: Dezenformasyon, demokrasimize yönelik sistemli bir tehdittir",non-sarcastic
trt,Türkiye'den Libya'daki gerilime ilişkin 'ateşkes ve diyalog' çağrısı,non-sarcastic
trt,Sözleşmeli sağlık personeli yerleştirme sonuçları açıklandı,non-sarcastic
trt,NATO'dan Yusuf Dikeç'li Türkiye paylaşımı,non-sarcastic
trt,Taklit ve hileli gıda listesi güncellendi,non-sarcastic
trt,Cumhurbaşkanı Erdoğan 3 ülkenin büyükelçisini kabul etti,non-sarcastic
trt,Bakan Göktaş: Engelli kamu çalışanı sayısını 13 kat artırdık,non-sarcastic
trt,Cumhurbaşkanı Erdoğan'ın dörtlü liderler toplantısına katılması dünya basınında,non-sarcastic
trt,"Bakan Fidan, Ukraynalı mevkidaşıyla görüştü",non-sarcastic
trt,"Bakan Fidan, ABD'li ve Suriyeli mevkidaşlarıyla görüşecek",non-sarcastic
trt,TUSAŞ’tan tarihi imza: Hürjet İspanya yolcusu,non-sarcastic
trt,Cumhurbaşkanı Erdoğan: Tarımsal hasılamızı 74 milyar dolara yükselttik,non-sarcastic
trt,Konya Milletvekili Ekici ve 4 belediye başkanı AK Parti'ye katıldı,non-sarcastic
trt,"Cumhurbaşkanı Erdoğan, 14 Mayıs Eczacılık Günü‘nü kutladı",non-sarcastic
trt,Trafik kazasında olay yerini terk eden sürücüye hapis cezası geliyor,non-sarcastic
trt,Bakan Tunç: Türkiye bu yüzyıla damgasını vuracaksa terörün olmadığı bir Türkiye'yle vuracağız,non-sarcastic
trt,"İstanbul, İran - Avrupa ülkeleri nükleer görüşmelerine ev sahipliği yapacak",non-sarcastic
trt,"Emine Erdoğan'dan, Sıfır Atık Enstitüsünün kurulmasına ilişkin paylaşım",non-sarcastic
trt,Bakan Tekin açıkladı: 12 yıllık zorunlu eğitim değişecek mi?,non-sarcastic
trt,Cumhurbaşkanı Erdoğan: Terörsüz Türkiye'de yeni safhadayız,non-sarcastic
trt,Türk Dünyası'nın 'Merkezî Seçim Otoriteleri Danışma Platformu' kuruldu,non-sarcastic
trt,Türkiye'nin aile istatistikleri açıklandı,non-sarcastic
trt,Riyad'da 4'lü Suriye zirvesi,non-sarcastic
trt,Cumhurbaşkanı Erdoğan: Tarım Sigortası ile ÇKS'nin önemini bir kez daha gördük,non-sarcastic
trt,Suriye için yeniden doğuş: ABD yaptırımları kalkıyor,non-sarcastic
trt,Yıldırım düşmesi sonucu 1 askerimiz şehit oldu,non-sarcastic
trt,NATO üyesi ülkelerin Dışişleri Bakanları Antalya'da,non-sarcastic
trt,Atama kararları Resmi Gazete'de,non-sarcastic
trt,Mali suç örgütlerine operasyon: 146 şüpheli yakalandı,non-sarcastic
trt,Bakan Kurum: Akdeniz'deki deprem herhangi bir hasara neden olmadı,non-sarcastic
trt,Akdeniz'de 6 büyüklüğünde deprem,non-sarcastic
trt,"Bakan Fidan, NATO Genel Sekreteri Rutte ile bir araya geldi",non-sarcastic
trt,Cumhurbaşkanı Erdoğan'dan Şerif'e: Sizlerin yanında olmaya devam edeceğiz,non-sarcastic
trt,"Cumhurbaşkanı Yardımcısı Yılmaz: Yeni GAP anlayışı gelişecek, bölgede ciddi potansiyel var",non-sarcastic
trt,"Cumhurbaşkanı Erdoğan, Meloni ile görüştü",non-sarcastic
trt,Savunma Sanayii İcra Komitesi toplandı,non-sarcastic
trt,Cumhurbaşkanı Erdoğan'dan 'Balık Ayhan' için başsağlığı mesajı,non-sarcastic
trt,"İletişim Başkanı Altun: Kardeşlikten güç alıyoruz, terörsüz bir Türkiye için el ele veriyoruz",non-sarcastic
trt,Bakan Tunç: İş kuracak eski hükümlüler için hibe desteği sağlanacak,non-sarcastic
trt,Bakan Memişoğlu: Ülkemizin sağlık turizmi alanında marka değerini artırıyoruz,non-sarcastic
trt,Bakan Kurum'dan belediyelere 'müsilaj' uyarısı,non-sarcastic
trt,"Cumhurbaşkanı Erdoğan, Mark Rutte'yi kabul etti",non-sarcastic
trt,Minguzzi'nin ailesini tehdit edenler hakkında iddianame hazırlandı,non-sarcastic
trt,'DUY İhbar Platformu' ile 2 bin 550 içerik engellendi,non-sarcastic
trt,İletişim Başkanı Altun: 'Terörsüz Türkiye'yi adım adım inşa ediyoruz,non-sarcastic
trt,"Cevdet Yılmaz: Bağımlılıklarla mücadele, devlet politikamızın bir parçası",non-sarcastic
trt,İstanbul'da izinsiz gösterilere katılan 3 sanığa 4 yıla kadar hapis istemi,non-sarcastic
trt,"Bakan Yerlikaya: Kardeşliğin, huzurun, birliğin önünü açan tarihi bir adım",non-sarcastic
trt,Zirai Don Araştırma Komisyonu ilk toplantısını yapacak,non-sarcastic
trt,Bakanlıktan hastalık ve kesimlere ilişkin kurbanlık tedbirleri,non-sarcastic
trt,Türkiye'nin 'elektronik harp' gücü: Avrupa kapımızı çalabilir,non-sarcastic
trt,İstanbul merkezli FETÖ operasyonu: 13 gözaltı,non-sarcastic
trt,Kırmızı bültenle aranan terör örgütü DEAŞ şüphelisi yakalandı,non-sarcastic
trt,Milli Savunma Bakanı Güler Azerbaycan'da,non-sarcastic
trt,NATO Dışişleri Bakanları Antalya'da buluşuyor,non-sarcastic
trt,Türkiye'nin Trablus Büyükelçiliği’nden Türk vatandaşlarına uyarı,non-sarcastic
trt,Bakanlar terör örgütü PKK'nın fesih ve silah bırakma kararını değerlendirdi,non-sarcastic
trt,Cumhurbaşkanı Yardımcısı Yılmaz: Terörsüz ortamda demokratik siyaset güç kazanacaktır,non-sarcastic
trt,TBMM Başkanı Kurtulmuş: Terörsüz Türkiye’nin kazananı tüm milletimiz olacaktır,non-sarcastic
trt,Bakan Yerlikaya: Türkiye Yüzyılı'nı terörsüz bir gelecek üzerine kuracağız,non-sarcastic
trt,"Bakan Şimşek: Şimdi huzur, istikrar ve refah zamanı",non-sarcastic
trt,"Bakan Fidan, ABD'li mevkidaşı Rubio ile görüştü",non-sarcastic
trt,"Cumhurbaşkanı Erdoğan, Zelenski ile görüştü",non-sarcastic
trt,"Bahçeli, Kabine Toplantısı'na 102 gül gönderdi",non-sarcastic
trt,Cumhurbaşkanı Erdoğan: 'Terörsüz Türkiye' sürecinde kazanan hep birlikte Türkiye oldu,non-sarcastic
trt,"""Gara dağında TSK ve terör örgütü PKK sıcak çatışmaya girdi"" iddiası yalanlandı",non-sarcastic
trt,"Bahçeli: PKK musibeti son bulacak, 47 yıldır yazılan kanlı sayfa kapanacak",non-sarcastic
trt,Küresel krizlerin çözümünde anahtar ülke Türkiye,non-sarcastic
trt,Cumhurbaşkanı Erdoğan: Kendini devletten üstün görenlerin tepelerine binmeye devam edeceğiz,non-sarcastic
trt,Bakan Fidan: Atılacak adımları yakından takip edeceğiz,non-sarcastic
trt,Rusya-Ukrayna Savaşı'nı bitirme çabalarının dönüm noktası: İstanbul müzakereleri,non-sarcastic
trt,Yılmaz Tunç: Terör belasından kurtulma yolunda önemli bir dönüm noktasındayız,non-sarcastic
trt,Fahrettin Altun'dan terör örgütü PKK’nın kendini feshetmesine ilişkin açıklama,non-sarcastic
trt,"DMM, ""Özerk ve federal bir yönetim sağlanacağı"" iddiasını yalanladı",non-sarcastic
trt,Türkiye Kupası finalinde Cihan Aydın düdük çalacak,non-sarcastic
trt,AK Parti'den terör örgütü PKK'nın fesih kararına değerlendirme,non-sarcastic
trt,Milli Savunma Bakanı Güler Azerbaycan'a gidecek,non-sarcastic
trt,Ömer Çelik'ten terör örgütü PKK’nın kendini feshetmesine ilişkin açıklama,non-sarcastic
trt,Terör örgütü PKK kendini feshetti,non-sarcastic
trt,17 ilde dolandırıcılara operasyon: 160 şüpheli yakalandı,non-sarcastic
trt,Hamas Türkiye'ye neden teşekkür etti?,non-sarcastic
trt,Kabine bugün toplanacak,non-sarcastic
trt,Dışişleri Ekvador'da düzenlenen saldırıyı kınadı,non-sarcastic
trt,Barış masası yeniden Türkiye'de kurulacak,non-sarcastic
trt,Beşiktaş'ta Serdar Adalı yeniden başkanlığa seçildi,non-sarcastic
trt,Ömer Çelik'ten Cumhurbaşkanı Erdoğan'ın barış diplomasisine ilişkin açıklama,non-sarcastic
trt,Bayraktar TB3 DENİZKURDU-2025 Tatbikatı'nda,non-sarcastic
trt,Cumhurbaşkanı Erdoğan Putin ile görüştü,non-sarcastic
trt,Cumhurbaşkanı Erdoğan Macron ile görüştü,non-sarcastic
trt,Bakan Kacır: Türk milletinin öz evlatları Türk milletinin imzasını gökyüzüne attılar,non-sarcastic
trt,"Cumhurbaşkanı Erdoğan'dan ""Anneler Günü"" mesajı",non-sarcastic
trt,Bakan Kurum'dan depremzede aileye ziyaret,non-sarcastic
trt,Düğün ve doğum çekimlerinde 'yetkin fotoğrafçı' dönemi başlıyor,non-sarcastic
trt,"YHT ve ana hat trenlerinde 7,8 milyon engelli yolcu ücretsiz seyahat etti",non-sarcastic
trt,Emine Erdoğan'dan Anneler Günü mesajı,non-sarcastic
trt,Geçen yıl her 3 günde bir kişi “kırmızı ışık ihlali” nedeniyle hayatını kaybetti,non-sarcastic
trt,Meclis'te bu hafta hangi konular görüşülecek? İşte gündem başlıkları...,non-sarcastic
trt,'ATMACA' hedefi tam isabetle vurdu,non-sarcastic
trt,Emine Erdoğan: Anneliğin sınır tanımayan şefkatiyle bir araya geldik,non-sarcastic
trt,AK Parti Sözcüsü Çelik: Ateşkes kararı alınması çok memnuniyet vericidir,non-sarcastic
trt,Bakan Kurum: İstanbul'da önceliğimiz 2000 yılından önce inşa edilen yapılar,non-sarcastic
trt,Cumhurbaşkanı Erdoğan'dan Gençlerbirliği için tebrik mesajı,non-sarcastic
trt,Dışişleri Bakanlığı: Pakistan-Hindistan ateşkesinden memnunuz,non-sarcastic
trt,Bakan Uraloğlu: Türkiye siber saldırılara karşı rol modeli,non-sarcastic
trt,MHP Genel Başkanı Devlet Bahçeli’den ‘Anneler Günü’ mesajı,non-sarcastic
trt,Cumhurbaşkanı Erdoğan: Terörsüz Türkiye hedefine sağlam adımlarla ilerliyoruz,non-sarcastic
trt,"Cumhurbaşkanı Erdoğan, Edi Rama ile görüştü",non-sarcastic
trt,NATO Dışişleri Bakanları Antalya'da bir araya gelecek,non-sarcastic
trt,Çocukların dijital güvenliği için yeni uygulama yolda,non-sarcastic
trt,"Bakan Uraloğlu, Trabzon'da bisiklet yarışlarının startını verdi",non-sarcastic
trt,Bakan Yerlikaya: Terör duvarını yıkarak 'Terörsüz Türkiye' hedefine ulaşacağız,non-sarcastic
trt,"Ömer Çelik: Türkiye, Filistin davasını savunmaya devam edecek",non-sarcastic
trt,Sahte baz istasyonuyla dolandırıcılık yapan çeteyi MİT çökertti,non-sarcastic
trt,Interpol'ün kırmızı ve yeşil bültenle aradığı 2 suçlu Türkiye'de yakalandı,non-sarcastic
trt,Atama kararları Resmi Gazete'de,non-sarcastic
trt,AK Parti Sözcüsü Çelik: Rümeysa kardeşimize selamlarımızı gönderiyoruz,non-sarcastic
trt,2 ülkeye yeni büyükelçi atandı,non-sarcastic
trt,47 ildeki FETÖ operasyonunda 77 zanlı tutuklandı,non-sarcastic
trt,Bakan Tunç: Kamu vicdanını rahatlatan olumlu bir gelişmedir,non-sarcastic
trt,"Bakan Fidan, suikast girişimini ilk kez açıkladı: Arsenik ve cıva ile zehirlendim",non-sarcastic
trt,"Bakan Fidan: Silahların bırakılması yetmez, illegalite de bitmeli",non-sarcastic
trt,Cumhurbaşkanlığı Hukuk Politikaları Kurulundan infaz sistemi çalıştayı,non-sarcastic
trt,Rümeysa Öztürk'ün annesi: Karardan dolayı çok mutlu olduk,non-sarcastic
trt,Kızılay kurban vekalet fiyatlarını belirledi,non-sarcastic
trt,Cumhurbaşkanı Erdoğan: Bütünleştirici bir Avrupa Birliği herkesin menfaatinedir,non-sarcastic
trt,"RTÜK'ten ""dolandırıcılık"" uyarısı",non-sarcastic
trt,Cevdet Yılmaz: Jeotermal enerjide Avrupa'da ilk sırada yer alıyoruz,non-sarcastic
trt,Bakan Uraloğlu: Kalkınma Yolu Projesi ile coğrafyamızın ekonomisini geliştireceğiz,non-sarcastic
trt,DENİZKURDU-II 2025 Tatbikatı tüm hızıyla devam ediyor,non-sarcastic
trt,Cumhurbaşkanı Erdoğan'dan Papa 14. Leo'ya tebrik mektubu,non-sarcastic
trt,Celal Adan: Kan ve kin devri kapanmıştır,non-sarcastic
trt,"DMM, ""ABD konsolosluk çalışanlarının sabıka kaydına erişimi var"" iddiasını yalanladı",non-sarcastic
trt,"Bakanlıktan ""Anneler Günü Pikniği"" etkinliği",non-sarcastic
trt,"Cumhurbaşkanı Erdoğan: Yıllık enflasyon kesintisiz düşüyor, devamı da gelecek",non-sarcastic
trt,TBMM Başkanı Kurtulmuş'tan Avrupa Parlamentosu'nun Türkiye raporuna tepki,non-sarcastic
trt,Terörsüz Türkiye süreciyle ilgili önemli açıklama,non-sarcastic
trt,İmamoğlu'nun kamera harddisklerini söken teknik personeli tutuklandı,non-sarcastic
trt,Aile ve Sosyal Hizmetler Bakanlığı ile TFF arasında işbirliği protokolü imzalandı,non-sarcastic
trt,Trafik kazaları yılın ilk 4 ayında 684 can aldı,non-sarcastic
trt,e-Devlet'ten kira sözleşmesi hizmeti emlakçıların kullanımına açıldı,non-sarcastic
trt,"Şanlıurfa ve Van'da 311,5 kilo uyuşturucu ele geçirildi",non-sarcastic
trt,Danıştay 157'nci yaşını kutlayacak,non-sarcastic
trt,Maydonoz Döner'e FETÖ operasyonu: 23 gözaltı,non-sarcastic
trt,Tefecilik yapan suç örgütüne 3 ilde operasyon: 7 tutuklama,non-sarcastic
trt,Meteoroloji'den hafta sonu uyarısı: Serin ve yağışlı hava geliyor,non-sarcastic
trt,Yeni yargı paketinde bilişim suçlarına özel başlık,non-sarcastic
trt,Dışişleri Bakanlığı'ndan Sudan'a seyahat uyarısı,non-sarcastic
trt,112'ye asılsız ihbar yapanlara 15 bin TL ceza kesilecek,non-sarcastic
trt,İBB yolsuzluk soruşturmasında manipülatif paylaşımlara soruşturma,non-sarcastic
trt,"Turkcell Süper Kupa, 4 takımla oynanacak",non-sarcastic
trt,"Emine Erdoğan, Şeyha Fatima Bint Mubarak ile görüştü",non-sarcastic
